num. of data,6.000000E+6,Distance (m),Time 1
meas. time,1.990000E-3,0.005006,2.96413653
center wavelength,1.549960E-6,0.015019,2.96413653
phase division num.,3.800000E+1,0.025032,2.96413653
calc. start position,0.000000E+0,0.035045,2.96413653
calc. stop position,3.700000E+1,0.045057,2.96413653
meas. point interval,1.000000E-2,0.055070,2.96413653
spacial resolution,1.000000E-2,0.065083,2.96413653
PNC remaining,1.000000E+0,0.075096,1.96390723
strain resolution,1.000000E+0,0.085108,2.96413653
search pitchi,0.000000E+0,0.095121,2.96413653
search range,0.000000E+0,0.105134,2.96413653
refractive index,1.470000E+0,0.115147,2.96413653
wavelength width,2.000000E-8,0.125159,2.96413653
modulation freq.,1.522180E+2,0.135172,2.96413653
local signal delay,8.865000E-8,0.145185,2.96413653
reference delay,1.260500E-7,0.155198,-19.04090815
window of etalon,5.000000E+2,0.165210,2.96413653
sampling rate,4.000000E+9,0.175223,2.96413653
cont. meas. interval,     0,0.185236,-6.03792720
num. of cont. meas.,     0,0.195249,-10.03884441
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_134644-3-150mm.h5,      ,0.205262,-12.03930302
C:\Users\STR\data\RH_ç`òp\ã»Ç∞ééå±\n3\ï\\20260525_134734-4-200mm.h5,      ,0.215274,-21.04136675
 SN: 2,      ,0.225287,-43.04641143
single,      ,0.235300,-24.04205466
20260525_13:47:34.717,      ,0.245313,-4.03746859
      ,      ,0.255325,-103.06016964
      ,      ,0.265338,-10.03884441
      ,      ,0.275351,-15.03999093
      ,      ,0.285364,-12.03930302
      ,      ,0.295376,-11.03907372
      ,      ,0.305389,-14.03976163
      ,      ,0.315402,-13.03953232
      ,      ,0.325415,-16.04022023
      ,      ,0.335427,-19.04090815
      ,      ,0.345440,-22.04159606
      ,      ,0.355453,-11.03907372
      ,      ,0.365466,0.96367792
      ,      ,0.375478,3.96436583
      ,      ,0.385491,2.96413653
      ,      ,0.395504,-1.03678068
      ,      ,0.405517,1.96390723
      ,      ,0.415529,0.96367792
      ,      ,0.425542,-6.03792720
      ,      ,0.435555,-11.03907372
      ,      ,0.445568,-16.04022023
      ,      ,0.455580,-13.03953232
      ,      ,0.465593,-9.03861511
      ,      ,0.475606,-20.04113745
      ,      ,0.485619,-26.04251327
      ,      ,0.495631,-32.04388909
      ,      ,0.505644,-33.04411839
      ,      ,0.515657,-30.04343048
      ,      ,0.525670,-18.04067884
      ,      ,0.535682,-9.03861511
      ,      ,0.545695,-3.03723929
      ,      ,0.555708,-3.03723929
      ,      ,0.565721,-3.03723929
      ,      ,0.575734,9.96574166
      ,      ,0.585746,-4.03746859
      ,      ,0.595759,-7.03815650
      ,      ,0.605772,-2.03700999
      ,      ,0.615785,0.96367792
      ,      ,0.625797,1.96390723
      ,      ,0.635810,2.96413653
      ,      ,0.645823,4.96459514
      ,      ,0.655836,4.96459514
      ,      ,0.665848,3.96436583
      ,      ,0.675861,3.96436583
      ,      ,0.685874,4.96459514
      ,      ,0.695887,4.96459514
      ,      ,0.705899,6.96505374
      ,      ,0.715912,4.96459514
      ,      ,0.725925,6.96505374
      ,      ,0.735938,6.96505374
      ,      ,0.745950,6.96505374
      ,      ,0.755963,5.96482444
      ,      ,0.765976,4.96459514
      ,      ,0.775989,4.96459514
      ,      ,0.786001,6.96505374
      ,      ,0.796014,6.96505374
      ,      ,0.806027,3.96436583
      ,      ,0.816040,8.96551235
      ,      ,0.826052,7.96528305
      ,      ,0.836065,4.96459514
      ,      ,0.846078,6.96505374
      ,      ,0.856091,8.96551235
      ,      ,0.866103,4.96459514
      ,      ,0.876116,3.96436583
      ,      ,0.886129,3.96436583
      ,      ,0.896142,5.96482444
      ,      ,0.906154,6.96505374
      ,      ,0.916167,1.96390723
      ,      ,0.926180,4.96459514
      ,      ,0.936193,-1.03678068
      ,      ,0.946206,0.96367792
      ,      ,0.956218,-3.03723929
      ,      ,0.966231,1.96390723
      ,      ,0.976244,-2.03700999
      ,      ,0.986257,-1.03678068
      ,      ,0.996269,0.96367792
      ,      ,1.006282,0.96367792
      ,      ,1.016295,-0.03655138
      ,      ,1.026308,-2.03700999
      ,      ,1.036320,-0.03655138
      ,      ,1.046333,1.96390723
      ,      ,1.056346,-1.03678068
      ,      ,1.066359,-2.03700999
      ,      ,1.076371,0.96367792
      ,      ,1.086384,-1.03678068
      ,      ,1.096397,1.96390723
      ,      ,1.106410,-0.03655138
      ,      ,1.116422,-0.03655138
      ,      ,1.126435,-2.03700999
      ,      ,1.136448,0.96367792
      ,      ,1.146461,-1.03678068
      ,      ,1.156473,0.96367792
      ,      ,1.166486,-1.03678068
      ,      ,1.176499,-0.03655138
      ,      ,1.186512,-0.03655138
      ,      ,1.196524,-2.03700999
      ,      ,1.206537,3.96436583
      ,      ,1.216550,0.96367792
      ,      ,1.226563,0.96367792
      ,      ,1.236575,-1.03678068
      ,      ,1.246588,1.96390723
      ,      ,1.256601,0.96367792
      ,      ,1.266614,0.96367792
      ,      ,1.276626,0.96367792
      ,      ,1.286639,-2.03700999
      ,      ,1.296652,0.96367792
      ,      ,1.306665,4.96459514
      ,      ,1.316678,0.96367792
      ,      ,1.326690,0.96367792
      ,      ,1.336703,2.96413653
      ,      ,1.346716,2.96413653
      ,      ,1.356729,-1.03678068
      ,      ,1.366741,-0.03655138
      ,      ,1.376754,1.96390723
      ,      ,1.386767,3.96436583
      ,      ,1.396780,0.96367792
      ,      ,1.406792,0.96367792
      ,      ,1.416805,0.96367792
      ,      ,1.426818,2.96413653
      ,      ,1.436831,-0.03655138
      ,      ,1.446843,0.96367792
      ,      ,1.456856,-1.03678068
      ,      ,1.466869,0.96367792
      ,      ,1.476882,-1.03678068
      ,      ,1.486894,1.96390723
      ,      ,1.496907,-2.03700999
      ,      ,1.506920,3.96436583
      ,      ,1.516933,1.96390723
      ,      ,1.526945,0.96367792
      ,      ,1.536958,0.96367792
      ,      ,1.546971,0.96367792
      ,      ,1.556984,-1.03678068
      ,      ,1.566996,-1.03678068
      ,      ,1.577009,2.96413653
      ,      ,1.587022,3.96436583
      ,      ,1.597035,0.96367792
      ,      ,1.607047,1.96390723
      ,      ,1.617060,0.96367792
      ,      ,1.627073,1.96390723
      ,      ,1.637086,2.96413653
      ,      ,1.647099,-0.03655138
      ,      ,1.657111,-0.03655138
      ,      ,1.667124,1.96390723
      ,      ,1.677137,-0.03655138
      ,      ,1.687150,2.96413653
      ,      ,1.697162,-0.03655138
      ,      ,1.707175,2.96413653
      ,      ,1.717188,1.96390723
      ,      ,1.727201,1.96390723
      ,      ,1.737213,2.96413653
      ,      ,1.747226,0.96367792
      ,      ,1.757239,-0.03655138
      ,      ,1.767252,2.96413653
      ,      ,1.777264,-0.03655138
      ,      ,1.787277,1.96390723
      ,      ,1.797290,-2.03700999
      ,      ,1.807303,-1.03678068
      ,      ,1.817315,1.96390723
      ,      ,1.827328,0.96367792
      ,      ,1.837341,1.96390723
      ,      ,1.847354,-1.03678068
      ,      ,1.857366,0.96367792
      ,      ,1.867379,-2.03700999
      ,      ,1.877392,-1.03678068
      ,      ,1.887405,1.96390723
      ,      ,1.897417,-0.03655138
      ,      ,1.907430,2.96413653
      ,      ,1.917443,2.96413653
      ,      ,1.927456,3.96436583
      ,      ,1.937468,-0.03655138
      ,      ,1.947481,-0.03655138
      ,      ,1.957494,1.96390723
      ,      ,1.967507,-1.03678068
      ,      ,1.977519,1.96390723
      ,      ,1.987532,2.96413653
      ,      ,1.997545,1.96390723
      ,      ,2.007558,2.96413653
      ,      ,2.017571,0.96367792
      ,      ,2.027583,1.96390723
      ,      ,2.037596,-1.03678068
      ,      ,2.047609,-0.03655138
      ,      ,2.057622,-0.03655138
      ,      ,2.067634,0.96367792
      ,      ,2.077647,0.96367792
      ,      ,2.087660,-1.03678068
      ,      ,2.097673,0.96367792
      ,      ,2.107685,0.96367792
      ,      ,2.117698,1.96390723
      ,      ,2.127711,3.96436583
      ,      ,2.137724,0.96367792
      ,      ,2.147736,1.96390723
      ,      ,2.157749,0.96367792
      ,      ,2.167762,2.96413653
      ,      ,2.177775,-1.03678068
      ,      ,2.187787,0.96367792
      ,      ,2.197800,2.96413653
      ,      ,2.207813,0.96367792
      ,      ,2.217826,0.96367792
      ,      ,2.227838,1.96390723
      ,      ,2.237851,2.96413653
      ,      ,2.247864,0.96367792
      ,      ,2.257877,0.96367792
      ,      ,2.267889,1.96390723
      ,      ,2.277902,0.96367792
      ,      ,2.287915,1.96390723
      ,      ,2.297928,1.96390723
      ,      ,2.307940,-0.03655138
      ,      ,2.317953,-3.03723929
      ,      ,2.327966,-1.03678068
      ,      ,2.337979,1.96390723
      ,      ,2.347991,-0.03655138
      ,      ,2.358004,0.96367792
      ,      ,2.368017,2.96413653
      ,      ,2.378030,-3.03723929
      ,      ,2.388043,3.96436583
      ,      ,2.398055,1.96390723
      ,      ,2.408068,-0.03655138
      ,      ,2.418081,-0.03655138
      ,      ,2.428094,0.96367792
      ,      ,2.438106,0.96367792
      ,      ,2.448119,-0.03655138
      ,      ,2.458132,-0.03655138
      ,      ,2.468145,-2.03700999
      ,      ,2.478157,0.96367792
      ,      ,2.488170,2.96413653
      ,      ,2.498183,-0.03655138
      ,      ,2.508196,0.96367792
      ,      ,2.518208,-1.03678068
      ,      ,2.528221,1.96390723
      ,      ,2.538234,3.96436583
      ,      ,2.548247,0.96367792
      ,      ,2.558259,0.96367792
      ,      ,2.568272,3.96436583
      ,      ,2.578285,3.96436583
      ,      ,2.588298,4.96459514
      ,      ,2.598310,-1.03678068
      ,      ,2.608323,2.96413653
      ,      ,2.618336,3.96436583
      ,      ,2.628349,-0.03655138
      ,      ,2.638361,1.96390723
      ,      ,2.648374,0.96367792
      ,      ,2.658387,-0.03655138
      ,      ,2.668400,0.96367792
      ,      ,2.678412,0.96367792
      ,      ,2.688425,1.96390723
      ,      ,2.698438,1.96390723
      ,      ,2.708451,1.96390723
      ,      ,2.718463,2.96413653
      ,      ,2.728476,2.96413653
      ,      ,2.738489,-0.03655138
      ,      ,2.748502,2.96413653
      ,      ,2.758515,2.96413653
      ,      ,2.768527,2.96413653
      ,      ,2.778540,1.96390723
      ,      ,2.788553,3.96436583
      ,      ,2.798566,0.96367792
      ,      ,2.808578,0.96367792
      ,      ,2.818591,-2.03700999
      ,      ,2.828604,-1.03678068
      ,      ,2.838617,-0.03655138
      ,      ,2.848629,1.96390723
      ,      ,2.858642,1.96390723
      ,      ,2.868655,1.96390723
      ,      ,2.878668,2.96413653
      ,      ,2.888680,-2.03700999
      ,      ,2.898693,-1.03678068
      ,      ,2.908706,-0.03655138
      ,      ,2.918719,2.96413653
      ,      ,2.928731,1.96390723
      ,      ,2.938744,-1.03678068
      ,      ,2.948757,3.96436583
      ,      ,2.958770,2.96413653
      ,      ,2.968782,0.96367792
      ,      ,2.978795,4.96459514
      ,      ,2.988808,-0.03655138
      ,      ,2.998821,-0.03655138
      ,      ,3.008833,2.96413653
      ,      ,3.018846,2.96413653
      ,      ,3.028859,2.96413653
      ,      ,3.038872,1.96390723
      ,      ,3.048884,1.96390723
      ,      ,3.058897,0.96367792
      ,      ,3.068910,0.96367792
      ,      ,3.078923,-0.03655138
      ,      ,3.088935,-0.03655138
      ,      ,3.098948,1.96390723
      ,      ,3.108961,1.96390723
      ,      ,3.118974,5.96482444
      ,      ,3.128987,3.96436583
      ,      ,3.138999,0.96367792
      ,      ,3.149012,-0.03655138
      ,      ,3.159025,2.96413653
      ,      ,3.169038,-0.03655138
      ,      ,3.179050,3.96436583
      ,      ,3.189063,3.96436583
      ,      ,3.199076,1.96390723
      ,      ,3.209089,3.96436583
      ,      ,3.219101,1.96390723
      ,      ,3.229114,0.96367792
      ,      ,3.239127,0.96367792
      ,      ,3.249140,4.96459514
      ,      ,3.259152,1.96390723
